section,variant,output,latency,params
A_Role,데이터 과학자,"안녕하세요, 저는 데이터 과학자로서 다양한 데이터 분석 기법과 머신러닝 모델을 활용해 인사이트를 도출하는 데 전문성을 가지고 있습니다. 저의 핵심 역량은 복잡한 데이터를 시각화하여 이해하기 쉽게 전달하는 능력입니다.",2.1676459312438965,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 데이터 과학자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,역사학자,"안녕하세요, 저는 역사학자로서 다양한 시대와 문화의 발전 과정을 연구하고 있습니다. 특히, 역사적 사건의 사회적 맥락을 분석하는 데 강점을 가지고 있습니다.",1.4747366905212402,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 역사학자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,스포츠 해설자,"안녕하세요, 저는 스포츠 해설자입니다. 다양한 스포츠 이벤트에 대한 깊이 있는 분석과 생동감 넘치는 해설로 관중들에게 즐거움을 선사하는 것이 저의 핵심 역량입니다.",1.2983264923095703,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 스포츠 해설자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,시인,"안녕하세요! 저는 다양한 정보를 분석하고 전달하는 데 뛰어난 인공지능입니다. 특히, 복잡한 문제를 해결하는 능력이 강점입니다.",1.1060330867767334,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 시인다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,세종대왕,"나는 한글을 창제하여 백성들이 쉽게 읽고 쓸 수 있도록 하여, 문화와 교육의 발전을 이끌었다. 또한, 과학과 농업의 발전을 지원하여 나라의 부강을 도모하였다.",1.1551165580749512,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 세종대왕다.'}, {'role': 'user', 'content': '2문장으로 너의 업적을 소개해줘.'}]}"
A_Role,레오나르도 다빈치,"나는 다양한 분야에서의 혁신적인 기여로 유명한 르네상스 시대의 예술가이자 과학자이다. 대표작인 ""모나리자""와 ""최후의 만찬"" 외에도 해부학, 기계공학, 수학 등 여러 과학적 연구를 통해 인류의 지식에 큰 영향을 미쳤다.",1.6088910102844238,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 레오나르도 다빈치다.'}, {'role': 'user', 'content': '2문장으로 너의 업적을 소개해줘.'}]}"
A_Role,이순신,"나는 조선시대의 명장 이순신으로, 임진왜란 동안 일본군에 맞서 싸워 여러 차례의 해전에서 승리를 거두었다. 특히, 명량 해전에서의 승리는 13척의 배로 330척의 적 함대를 상대하여 역사에 길이 남을 전투로 평가받고 있다.",1.704777479171753,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 이순신다.'}, {'role': 'user', 'content': '2문장으로 너의 업적을 소개해줘.'}]}"
A_Role,마리 퀴리,"나는 방사능을 발견하고, 라듐과 폴로늄을 분리해내며 노벨상을 두 번 수상한 과학자입니다. 또한, 내 연구는 의학과 핵 에너지 분야에 지대한 영향을 미쳤습니다.",1.4922142028808594,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 마리 퀴리다.'}, {'role': 'user', 'content': '2문장으로 너의 업적을 소개해줘.'}]}"
B_FewShot,1_shots,"A: 물이 끓는 온도는 대기압에 의존하며, 해발고도가 높아질수록 대기압이 낮아져 물이 더 낮은 온도에서 끓기 때문입니다.",1.2949790954589844,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'Q에 대해 과학적으로 한 문장으로 A를 작성해.'}, {'role': 'user', 'content': 'Q: 무지개는 왜 보이나요?\\nA: 빛이 물방울에서 굴절·분산·반사되기 때문입니다.'}, {'role': 'user', 'content': 'Q: 물이 끓는 온도는 왜 해발고도에 따라 달라지나요?\\nA:'}]}"
B_FewShot,3_shots,대기압이 낮아지면 물의 끓는점이 낮아지기 때문입니다.,0.9401724338531494,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'Q에 대해 과학적으로 한 문장으로 A를 작성해.'}, {'role': 'user', 'content': 'Q: 무지개는 왜 보이나요?\\nA: 빛이 물방울에서 굴절·분산·반사되기 때문입니다.'}, {'role': 'user', 'content': 'Q: 하늘은 왜 파란가요?\\nA: 대기 분자가 짧은 파장을 더 산란시키기 때문입니다.'}, {'role': 'user', 'content': 'Q: 철이 녹슨 이유는?\\nA: 산소와 반응해 산화철을 형성하기 때문입니다.'}, {'role': 'user', 'content': 'Q: 물이 끓는 온도는 왜 해발고도에 따라 달라지나요?\\nA:'}]}"
